买入日,卖出日,买入时段,卖出时段,代码,名称,T日涨幅%,T日量比,收盘/最高,收盘价买入价_元,含滑点买入价_元,含滑点佣金买入成本_元,T+1收盘价_元,含滑点卖出价_元,含滑点佣金印花税卖出净价_元,T+1毛收益%,T+1净收益%_回测,T+1净收益%_由价格推算,次日涨停,实盘可买性,买不到/滑点风险说明,回测成交假设,仓位权重,单笔PnL_元_100万本金
2016-06-22,2016-06-23,T日收盘(约14:57-15:00集合竞价/收盘价),T+1日收盘(约14:57-15:00集合竞价/收盘价),000045,深纺织Ａ,4.9679,1.3294,1.0,13.1,13.1131,13.1164,12.88,12.8671,12.8575,-1.6794,-1.9794,-1.9739,False,低,常规弱转强区间，正常流动性下大概率可成交,按收盘价100%成交；未模拟排队失败,0.5,-9897.0
2016-06-22,2016-06-23,T日收盘(约14:57-15:00集合竞价/收盘价),T+1日收盘(约14:57-15:00集合竞价/收盘价),000933,神火股份,4.9261,1.1393,1.0,4.26,4.2643,4.2653,4.33,4.3257,4.3224,1.6432,1.3432,1.3387,False,低,常规弱转强区间，正常流动性下大概率可成交,按收盘价100%成交；未模拟排队失败,0.5,6716.0
2016-06-27,2016-06-28,T日收盘(约14:57-15:00集合竞价/收盘价),T+1日收盘(约14:57-15:00集合竞价/收盘价),000408,藏格矿业,4.9865,1.5836,1.0,15.58,15.5956,15.5995,16.35,16.3337,16.3214,4.9422,4.6422,4.6279,False,低,常规弱转强区间，正常流动性下大概率可成交,按收盘价100%成交；未模拟排队失败,0.5,23211.0
2016-06-27,2016-06-28,T日收盘(约14:57-15:00集合竞价/收盘价),T+1日收盘(约14:57-15:00集合竞价/收盘价),000768,中航西飞,4.9724,1.3708,1.0,19.0,19.019,19.0238,18.98,18.961,18.9468,-0.1053,-0.4053,-0.4045,False,低,常规弱转强区间，正常流动性下大概率可成交,按收盘价100%成交；未模拟排队失败,0.5,-2026.5
2016-06-28,2016-06-29,T日收盘(约14:57-15:00集合竞价/收盘价),T+1日收盘(约14:57-15:00集合竞价/收盘价),000591,太阳能,5.0477,1.2252,1.0,15.4,15.4154,15.4193,15.34,15.3247,15.3132,-0.3896,-0.6896,-0.688,False,低,收在最高价附近且未涨停，一般可挂收盘价附近成交,按收盘价100%成交；未模拟排队失败,0.5,-3448.0
2016-06-28,2016-06-29,T日收盘(约14:57-15:00集合竞价/收盘价),T+1日收盘(约14:57-15:00集合竞价/收盘价),000670,盈方微,4.9528,1.5039,1.0,8.9,8.9089,8.9111,8.88,8.8711,8.8645,-0.2247,-0.5247,-0.5236,False,低,常规弱转强区间，正常流动性下大概率可成交,按收盘价100%成交；未模拟排队失败,0.5,-2623.5
2016-07-04,2016-07-05,T日收盘(约14:57-15:00集合竞价/收盘价),T+1日收盘(约14:57-15:00集合竞价/收盘价),000933,神火股份,4.9356,1.1402,1.0,4.89,4.8949,4.8961,4.9,4.8951,4.8914,0.2045,-0.0955,-0.0957,False,低,常规弱转强区间，正常流动性下大概率可成交,按收盘价100%成交；未模拟排队失败,0.5,-477.5
2016-07-04,2016-07-05,T日收盘(约14:57-15:00集合竞价/收盘价),T+1日收盘(约14:57-15:00集合竞价/收盘价),002023,海特高新,4.7454,1.1014,1.0,18.1,18.1181,18.1226,18.46,18.4415,18.4277,1.989,1.689,1.6834,False,低,常规弱转强区间，正常流动性下大概率可成交,按收盘价100%成交；未模拟排队失败,0.5,8445.0
2016-07-06,2016-07-07,T日收盘(约14:57-15:00集合竞价/收盘价),T+1日收盘(约14:57-15:00集合竞价/收盘价),000848,承德露露,4.7049,1.716,1.0,12.24,12.2522,12.2553,12.05,12.038,12.0289,-1.5523,-1.8523,-1.8472,False,低,常规弱转强区间，正常流动性下大概率可成交,按收盘价100%成交；未模拟排队失败,0.5,-9261.5
2016-07-06,2016-07-07,T日收盘(约14:57-15:00集合竞价/收盘价),T+1日收盘(约14:57-15:00集合竞价/收盘价),000999,华润三九,4.5455,1.9375,1.0,25.3,25.3253,25.3316,25.63,25.6044,25.5852,1.3043,1.0043,1.0009,False,低,常规弱转强区间，正常流动性下大概率可成交,按收盘价100%成交；未模拟排队失败,0.5,5021.5
